Identifier,Index,Chemical Name,Structure File,Coord Atoms,Freq,rsmd
DUBHOZ,1,"7-(Diethylamino)-N-(3-methyl-1,3-benzothiazol-2(3H)-ylidene)-2-oxo-2H-chromene-3-carboxamide",DUBHOZ.mol,"[46, 47]",1,0.38069061776889446
VUWYER,1,"N,N'-Diacetyl-imidazolidinetrione",VUWYER.mol,"[5, 16]",1,0.3812301052221393
QEBFOS,1,bis(Dimethylammonium) ortho-dicarbadodecaborane-dithiolate acetonitrile solvate,QEBFOS.mol,"[0, 1]",1,0.3817344536207617
PERGOL,1,"diethyl 2,2'-(3,5-dioxo-1-phenylimidazo[1,5-c]quinazoline-2,6(3H,5H)-diyl)diacetate benzene solvate",PERGOL.mol,"[1, 53]",1,0.38216339551962575
LISZES,1,Guanidiniocarbonyl-1H-pyrrole acetate monohydrate,LISZES.mol,"[10, 9]",1,0.3840186888474747
DIVFOD,1,"(6R)-1'-O,2'-O,3'-O,2-N,5-Penta-acetyl-5,6,7,8-tetrahydro-L-neopterin dihydrate",DIVFOD.mol,"[13, 3]",1,0.38560660238125866
XAQYOF,1,2-Carbamoylguanidinium hydrogen fluorophosphonate,XAQYOF.mol,"[4, 8]",1,0.3856315813077502
MEDRIY,1,"8-Isopropyl-5a,7a-dimethyl-2,3,10-trioxo-3,4,5,5a,6,7,7a,8,9,10-decahydro-2H-1-oxabenzo[cd]cyclopenta[h]azulen-9-yl acetate",MEDRIY.mol,"[27, 26]",1,0.3865443294235064
VECKEU,1,"Morpholinium 1,1,1,5,5,5-hexafluoro-2,4-pentanedionate",VECKEU.mol,"[12, 13]",1,0.3871405344568705
ICESIU,1,"(Z,Z)-((6-Benzylidene-3-((5-t-butyl-1H-imidazol-4-yl)methylene)-5-oxo-3,4,5,6-tetrahydropyrazin-2-yl)oxy)methyl hex-5-ynoate",ICESIU.mol,"[55, 0]",1,0.38755119500277146
WOKPAO,1,"8,9-dimethoxy-1,2-dimethyl-3H,5H-dipyrrolo[1,2-c:2',1'-f]pyrimidine-3,5-dione",WOKPAO.mol,"[29, 30]",1,0.38781328043951985
PONTOB,1,"6-Carbamoyl-2,2-dimethyl-9-(2,4-dimethoxyphenyl)-1,2-dihydropurine",PONTOB.mol,"[6, 13]",1,0.3878739962368891
DAGNEG,1,"Ethyl 5-hydroxy-3-oxo-5,5-diphenylpentanoate",DAGNEG.mol,"[21, 22]",1,0.38808266156866966
BIURSR,1,tetrakis(Biuret) strontium(ii) perchlorate,BIURSR.mol,"[5, 6]",1,0.3881359034574902
LAQSIG,1,Methyl N-acetyloxalamate,LAQSIG.mol,"[15, 16]",1,0.39007276025089527
GUVZON,1,8-Methoxy-2-oxo-2H-chromene-3-carboxylic acid,GUVZON.mol,"[19, 20]",1,0.39015568765908254
YAXFAG,1,Amino(carbamoylamino)methaniminium tetrafluoroborate,YAXFAG.mol,"[4, 8]",1,0.3903765119863208
ZORDIT,1,(N-Benzoyl)-(N'-benzoylpropen-2-yl)hydrazone,ZORDIT.mol,"[36, 31]",1,0.3913481555533973
IYIYAR,1,"3-((2,4-Dinitrophenyl)amino)-2-oxopyrrolidine-1-carboxamide methanol solvate",IYIYAR.mol,"[25, 20]",1,0.39281017796570533
GEKROG,1,"2,6-bis(2-hydroxyethyl)-1-phenyl-2,6-dihydroimidazo[1,5-c]quinazoline-3,5-dione",GEKROG.mol,"[43, 44]",1,0.3930354745774703
IMEDOT,1,N'-(3-Hydroxypyridine-2-yl)pyridine-3-carboximidamide,IMEDOT.mol,"[16, 11]",1,0.3930414899264352
OXUJEY,1,"3-(5-(pyridin-4-yl)-1,3,4-oxadiazol-2-yl)-4H-chromen-4-one",OXUJEY.mol,"[1, 20]",1,0.3939949097432469
HEYHUP,1,"5-(4,6-diamino-1,3,5-triazin-2-yl)-1-butylpyrimidine-2,4(1H,3H)-dione",HEYHUP.mol,"[18, 1]",1,0.39414782177673435
YIMXIE,1,"3-(4-amino-1,2,5-oxadiazol-3-yl)-1,2,4-oxadiazol-5(4H)-one monohydrate",YIMXIE.mol,"[4, 9]",1,0.3941692009706832
DUBHAM,1,"4-amino-1,10a-dimethyl-2-phenyl-10a,11-dihydro-10H-indeno[1,2-b]quinoline-3-carbonitrile",DUBHAM.mol,"[46, 47]",1,0.39498783560066486
TAGVIG,1,"Ammonium (1,2,3,4-tetrahydro)-2,4-dioxo-5-pyrimidinecarboxylate monohydrate",TAGVIG.mol,"[8, 10]",1,0.3950181898845185
GAMMOX,1,8-amino-1-iminonaphthalen-2(1H)-one,GAMMOX.mol,"[18, 15]",1,0.3951196446420685
AQINAP,1,"3-t-butyl 1,2-dimethyl pyrrolo[1,2-b]cinnoline-1,2,3-tricarboxylate hydrate",AQINAP.mol,"[1, 7]",1,0.3953205276541172
PBEGAN,1,"Sodium 1-phenylbutane-1,3-dionate ethylene glycol",PBEGAN.mol,"[19, 20]",1,0.39537067558820016
ARAJUY,1,"2-((Pyrid-2-yl)imino)-tetrahydro-1,3-thiazine",ARAJUY.mol,"[5, 2]",1,0.3955439654899994
DACNAP,1,bis(Diacetamide) sodium perchlorate,DACNAP.mol,"[12, 13]",1,0.3972033757133758
TIJWEQ,1,"Methyl 6-(4-hydroxy-6-methoxy-3-oxo-1,3-dihydro-2-benzofuran-5-yl)-4-methylhex-4-enoate",TIJWEQ.mol,"[13, 2]",1,0.3975249671323078
ZAHNOO,1,"2-oxo-1,2,5,6,7,8,9,10-octahydrocycloocta[b]pyridine-3-carboxamide",ZAHNOO.mol,"[3, 6]",1,0.39881475174436276
JUGXIU,1,"2-(5-(2-Furyl)-1,3,4-oxadiazol-2-yl)aniline",JUGXIU.mol,"[21, 23]",1,0.3991532342774922
BADRAC,1,"5,5'-Dinitro-2H,2'H-3,3'-bi-1,2,4-triazole-2,2'-diamine",BADRAC.mol,"[9, 10]",1,0.4001278618031883
PAPREE,1,"Ethyl 1-(2,6-dimethylphenyl)-2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",PAPREE.mol,"[34, 35]",1,0.4005445324098388
LIZKAI,1,"Dimethyl 3-acetamido-1-acetyl-6-hydroxy-2-oxo-2,7-dihydro-1H-azepine-4,5-dicarboxylate",LIZKAI.mol,"[29, 33]",1,0.4012154490794738
EGUQIG,1,"(3S,5R)-3-((1R)-Hydroxy(4-nitrophenyl)methyl)-1-azabicyclo(3.2.0)heptan-2-one",EGUQIG.mol,"[2, 18]",1,0.4013068693365174
OXTETK,1,Di-potassium oxytetracycline dihydrate methanol solvate,OXTETK.mol,"[1, 4]",1,0.40199179308579713
PICYEH,1,"6,6-bis(hydroxymethyl)-2-p-tolyl-7,8-dihydroquinolin-5(6H)-one",PICYEH.mol,"[36, 39]",1,0.4022487407639282
KORROB,1,"N3,N6-bis(1H-tetrazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine dimethyl sulfoxide solvate",KORROB.mol,"[9, 2]",1,0.4024209777416427
EPEHOX,1,Bis(2-amino-3-carboxypyridinium) sulfate trihydrate,EPEHOX.mol,"[16, 9]",1,0.4025084056226174
YAGNAW,1,"Pyrimido(5,4-c)quinoline-4,5(3H,6H)-dione methanoic acid solvate",YAGNAW.mol,"[5, 9]",1,0.4033210869748639
HEXBEU,1,"2-[5-(pyridin-2-yl)-1,3,4-oxadiazol-2-yl]phenol",HEXBEU.mol,"[10, 20]",1,0.40447431236736675
QULZAY,1,3-Amino-1-((ethoxycarbonylmethyl)thiocarbamoyl)-1H-pyrazole-4-carboxylic acid ethyl ester,QULZAY.mol,"[32, 26]",1,0.4045484497360515
XIDQEH,1,"3,6-diguanidino-1,2,4,5-tetrazine bis(2,4,5-trinitroimidazolate)",XIDQEH.mol,"[5, 10]",1,0.4055716302028652
JOJLEB,1,ethyl 1-amino-4-phenyl-2-naphthoate,JOJLEB.mol,"[37, 34]",1,0.40588008376855905
FELLAK,1,"Methyl 8-ethyl-1,3,7-trimethylpyrrolo(3,2-f)indolizine-4,6-dione-2-carboxylate dimethylsulfoxide solvate",FELLAK.mol,"[37, 38]",1,0.4065014375715457
PPDSRA,1,"bis(1,3-Diphenyl-1,3-propanedionate) strontium hemiacetonate",PPDSRA.mol,"[15, 16]",1,0.4067662586054688
JEGVOG,1,Cerpegin,JEGVOG.mol,"[10, 2]",1,0.40684975554679226
QADNAN,1,"1-(2,2-Dimethyl-1,3-dioxolan-4-yl)-2-(1-trityl-1H-imidazol-2-yl)ethanol hemihydrate",QADNAN.mol,"[5, 0]",1,0.4076379203203308
PEMXEL,1,"2,4-Diamino-10-methyl-9-methoxypyrimido(4,5-b)-5-quinolone",PEMXEL.mol,"[22, 27]",1,0.40843193155398905
ZIWQAZ,1,"2-(N-hydroxyethanimidoyl)-4,5-dimethoxyaniline",ZIWQAZ.mol,"[21, 22]",1,0.4085880115491695
ZUGNAS,1,"(10R,6R,7R)-6,7-Dihydroxy-10-methyloxecane-2,4-dione",ZUGNAS.mol,"[26, 27]",1,0.40921825613692314
VUDVEX,1,bis(1H-Benzotriazol-1-yl)methanethione,VUDVEX.mol,"[2, 5]",1,0.4092801440452545
XURCIW,1,Oxo-ureido-acetic acid methyl ester,XURCIW.mol,"[13, 0]",1,0.4097599768682493
GAMNEO,1,"2,3-dihydro-2-spiro-7'-(8'-imino-7',8'-dihydronaphthalen-1'-amine)perimidine",GAMNEO.mol,"[39, 38]",1,0.41009432370247456
HEGKUB,1,"Ethyl 1-hydroxy-4-(2-hydroxyphenyl)-2,5-dioxopyrrolidine-3-carboxylate monohydrate",HEGKUB.mol,"[19, 3]",1,0.4100974027261318
KISPAE,1,"bis(amino(dihydrazinyl)methylium) 5,5'-iminobis(tetrazol-1-ide) trihydrate",KISPAE.mol,"[1, 8]",1,0.4103928711174141
UHALUK,1,"trans-(P,P)-3,3'-Diamino-4,4'-azofurazan",UHALUK.mol,"[9, 6]",1,0.4105890284847876
GIZBUN,1,"1,5-bis(Methylcarbamoyl)-3,7-dimethyl-2,6-diimino-3,7-diaza[3.3.0]bicyclooctane-4,8-dithione",GIZBUN.mol,"[14, 4]",1,0.410774581148253
UKEYOA,1,"2-(1-benzyl-4-oxo-1,4-dihydroquinazolin-2-yl)guanidine",UKEYOA.mol,"[4, 2]",1,0.4111773507633271
RASTUD,1,"4-(5-(nitroimino)-4,5-dihydro-1H-1,2,4-triazol-3-yl)-1,2,5-oxadiazol-3-amine N,N-dimethylformamide solvate",RASTUD.mol,"[4, 13]",1,0.4111883648676907
DUZROG,1,"3-Amino-1-methyl-6-phenyl-1,5-dihydro-4H-pyrazolo[4,3-c]pyridin-4-one",DUZROG.mol,"[26, 25]",1,0.41139115747159033
KECMOU,1,"4-Amino-3-imino-5,6-bis(methoxycarbonyl)-1-(1,2-bis(methoxycarbonyl)ethenyl)-1-methyl-2-phenyl-1,3-dihydroisoindole",KECMOU.mol,"[26, 27]",1,0.4115653275991706
DUBJER,1,"N-(1,3-Benzothiazol-2-yl)-7-(diethylamino)-2-oxo-2H-chromene-3-carboxamide",DUBJER.mol,"[36, 40]",1,0.41281805879415384
CXHIMZ20,1,"trans-1-Carbamoyl-imidazolidinone-4,5-diol",CXHIMZ20.mol,"[14, 13]",1,0.41398520163677577
GETZUB,1,"2-(2H-1,2,3-Benzotriazol-2-yl)-4-(2,4,4-trimethylpentan-2-yl)phenol",GETZUB.mol,"[3, 0]",1,0.4140808029333253
BINNAN,1,"(5aβ,6aα,7α,10aα)-(+-)-7-(Dimethylamino)-5a,6,6a,7,10a-pentahydro-1,8,10a,11-tetrahydroxy-10,12-dioxo-10H-benzo(b)xanthene-9-carboxamide diethyl ether solvate",BINNAN.mol,"[1, 4]",1,0.4155044830596197
PORGUB,1,"2,6-diamino-3-[phenyldiazenyl]pyridin-1-ium 3,5-dihydroxybenzoate",PORGUB.mol,"[2, 3]",1,0.4162054754210911
NEKNIA,1,"(3.3.1)Propellane-2,8-dione",NEKNIA.mol,"[9, 5]",1,0.41711087124871277
VENVIW,1,"4-(1,3-benzothiazol-2-yl)-5-[3-(methylamino)propyl]-1H-pyrazol-3-amine",VENVIW.mol,"[31, 32]",1,0.4176353493097986
LATQAA02,1,"2-carbamoyl-4-(dimethylazaniumyl)-5,10,12,12a-tetrahydroxy-6-methyl-3,11-dioxo-3,4,4a,5,5a,6,11,12a-octahydrotetracen-1-olate monohydrate",LATQAA02.mol,"[48, 47]",1,0.41765670829994417
CACTIL,1,"(4S, 6R, 7S, 13S)-13-oxy-anthranoyl-lupanine",CACTIL.mol,"[43, 46]",1,0.4191090305770838
MEKWOR,1,"methyl 7-t-butyl-4,5-dioxo-2-phenyl-4H,5H,7H-pyrano[2',3':3,4]pyrrolo[1,2-c][1,3]oxazole-9a(9H)-carboxylate",MEKWOR.mol,"[26, 27]",1,0.419620345822321
WIVGIU,1,"potassium [4-amino-5-(1,3-benzothiazol-2-yl)-6-(methylsulfanyl)pyrimidin-2-yl](phenylsulfonyl)azanide N,N-dimethylformamide solvate hemihydrate",WIVGIU.mol,"[35, 36]",1,0.4197598945745732
CAPKAF,1,5-Guanidiniocarbonyl-1H-pyrrole-2-carboxylic acid chloride dihydrate,CAPKAF.mol,"[13, 10]",1,0.41980176139590347
DELCUV,1,"ethyl 3-hydroxy-5-methyl-2-[4-(3-methylphenyl)-1H-1,2,3-triazol-1-yl][1,1'-biphenyl]-4-carboxylate",DELCUV.mol,"[50, 46]",1,0.422169245915592
FIRKID,1,"1,4-dimethyl-6,7-dithia-2a,8b-diazacyclopenta[cd]azulene-2,3(5H,8H)-dione",FIRKID.mol,"[22, 23]",1,0.4222617826737843
ARIXUV,1,"5-(3-Methylphenyl)-3,6-diphenyltetrahydro-1H-pyrazolo[1,2-a]pyridazine-1,8(5H)-dione",ARIXUV.mol,"[52, 53]",1,0.4226716248723054
VORFIT,1,"methyl 6-amino-2-cyano-1,3-benzothiazole-5-carboxylate",VORFIT.mol,"[19, 15]",1,0.42268488784058883
KANTIC,1,1-Deoxy-(N-methyloctanamido)-D-glucitol,KANTIC.mol,"[2, 6]",1,0.42284585590398166
PUHCUT,1,"ethyl 2,5-dioxo-1,2,4,5,6,7,8,9-octahydrobenzo[4,5]thieno[3,2-e]pyrrolo[1,2-a]pyrimidine-3-carboxylate",PUHCUT.mol,"[32, 25]",1,0.4243106546319065
FIRKAV,1,"S,S'-[(2,6-dimethyl-1,7-dioxo-1H,7H-pyrazolo[1,2-a]pyrazole-3,5-diyl)bis(methylene)] diethanethioate",FIRKAV.mol,"[32, 33]",1,0.4252142911444777
HABXEN,1,"8-Cyano-12-ethoxycarbonylbicyclo(6.4.01,6)dodecanol",HABXEN.mol,"[8, 16]",1,0.42526758432982914
RAQRIL,1,4-Nitrobenzodifuroxan,RAQRIL.mol,"[12, 14]",1,0.4273083808689214
FIRKEZ,1,"2,6-dimethyl-3,5-bis(sulfanylmethyl)-1H,7H-pyrazolo[1,2-a]pyrazole-1,7-dione",FIRKEZ.mol,"[20, 21]",1,0.427515880145097
LADSAO,1,"5-(4-amino-9H-pyrido[2',3':4,5]pyrrolo[2,3-d]pyrimidin-9-yl)-2-(hydroxymethyl)oxolan-3-ol",LADSAO.mol,"[20, 21]",1,0.42779656786213194
LAXREJ,1,"(5S,6S)-Ethyl 6-hydroxy-8-(4-methoxyphenyl)-7-((4-methylphenyl)sulfonyl)-1-oxo-7-azaspiro[4.5]dec-8-ene-9-carboxylate",LAXREJ.mol,"[57, 55]",1,0.428795564904742
STCLNC,1,11a-Hydroxy-12a-dehydroxy-6-thiatetracycline acetone solvate,STCLNC.mol,"[1, 4]",1,0.429218231177619
SUCROS11,1,Sucrose,SUCROS11.mol,"[35, 39]",1,0.43109285537180075
YOWJOK,1,"Ethyl 9-methyl-6-oxo-5-phenyl-5,6-dihydropyrido(2,3-d)(1,2,4)triazolo(1,5-a)pyrimidine-7-carboxylate",YOWJOK.mol,"[25, 23]",1,0.4312991751055168
QUCXIW,1,"5-Amino-4-cyano-3-(4-methoxyphenyl)-N-(1-naphthylcarbamoyl)-2,3-dihydrothiophene-2-carboxamide N,N-dimethylformamide",QUCXIW.mol,"[49, 16]",1,0.43187260909509634
TRURET10,1,Triuret,TRURET10.mol,"[14, 9]",1,0.4327699194470755
NADTRT,1,Sodium tartrate dihydrate,NADTRT.mol,"[13, 10]",1,0.4329542674728552
TETCYH10,1,Tetracycline hexahydrate,TETCYH10.mol,"[1, 4]",1,0.4331049376060479
ADINEH,1,"1,6-Anhydro-1-thio-β-D-glucopyranose (R)-S-oxide",ADINEH.mol,"[17, 15]",1,0.4331865308500629
